local_id,provider,remote_id,concept,label,language,semantic_category,source_url,image_url,local_raw_path,local_normalized_path,local_category_path,file_format,license,author,attribution,download_date,last_checked,status
picto_000001,arasaac,6522,hola,Hola,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/6522?download=false,pictograms/arasaac/raw/hola__arasaac__6522.png,pictograms/arasaac/normalized/hola__arasaac__6522.png,pictograms/arasaac/by_category/comunicacion_basica/hola__arasaac__6522.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:25.476Z,2026-06-18T22:46:26.267Z,active
picto_000002,arasaac,5584,sí,Sí,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/5584?download=false,pictograms/arasaac/raw/si__arasaac__5584.png,pictograms/arasaac/normalized/si__arasaac__5584.png,pictograms/arasaac/by_category/comunicacion_basica/si__arasaac__5584.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:25.962Z,2026-06-18T22:46:26.270Z,active
picto_000003,arasaac,5526,no,No,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/5526?download=false,pictograms/arasaac/raw/no__arasaac__5526.png,pictograms/arasaac/normalized/no__arasaac__5526.png,pictograms/arasaac/by_category/comunicacion_basica/no__arasaac__5526.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:26.581Z,2026-06-18T22:46:26.272Z,active
picto_000004,arasaac,12252,ayuda,Ayuda,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/12252?download=false,pictograms/arasaac/raw/ayuda__arasaac__12252.png,pictograms/arasaac/normalized/ayuda__arasaac__12252.png,pictograms/arasaac/by_category/comunicacion_basica/ayuda__arasaac__12252.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:27.290Z,2026-06-18T22:46:26.274Z,active
picto_000005,arasaac,8129,gracias,Gracias,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/8129?download=false,pictograms/arasaac/raw/gracias__arasaac__8129.png,pictograms/arasaac/normalized/gracias__arasaac__8129.png,pictograms/arasaac/by_category/comunicacion_basica/gracias__arasaac__8129.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:27.883Z,2026-06-18T22:46:26.276Z,active
picto_000006,arasaac,6028,adiós,Adiós,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/6028?download=false,pictograms/arasaac/raw/adios__arasaac__6028.png,pictograms/arasaac/normalized/adios__arasaac__6028.png,pictograms/arasaac/by_category/comunicacion_basica/adios__arasaac__6028.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:28.319Z,2026-06-18T22:46:26.279Z,active
picto_000007,arasaac,5441,quiero,Quiero,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/5441?download=false,pictograms/arasaac/raw/quiero__arasaac__5441.png,pictograms/arasaac/normalized/quiero__arasaac__5441.png,pictograms/arasaac/by_category/comunicacion_basica/quiero__arasaac__5441.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:28.949Z,2026-06-18T22:46:26.281Z,active
picto_000008,arasaac,6156,no quiero,No quiero,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/6156?download=false,pictograms/arasaac/raw/no_quiero__arasaac__6156.png,pictograms/arasaac/normalized/no_quiero__arasaac__6156.png,pictograms/arasaac/by_category/comunicacion_basica/no_quiero__arasaac__6156.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:29.552Z,2026-06-18T22:46:26.283Z,active
picto_000009,arasaac,27363,entiendo,Entiendo,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/27363?download=false,pictograms/arasaac/raw/entiendo__arasaac__27363.png,pictograms/arasaac/normalized/entiendo__arasaac__27363.png,pictograms/arasaac/by_category/comunicacion_basica/entiendo__arasaac__27363.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:30.135Z,2026-06-18T22:46:26.285Z,active
picto_000010,arasaac,27363,no entiendo,No entiendo,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/27363?download=false,pictograms/arasaac/raw/no_entiendo__arasaac__27363.png,pictograms/arasaac/normalized/no_entiendo__arasaac__27363.png,pictograms/arasaac/by_category/comunicacion_basica/no_entiendo__arasaac__27363.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:30.747Z,2026-06-18T22:46:26.287Z,active
picto_000011,arasaac,8195,por favor,Por favor,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/8195?download=false,pictograms/arasaac/raw/por_favor__arasaac__8195.png,pictograms/arasaac/normalized/por_favor__arasaac__8195.png,pictograms/arasaac/by_category/comunicacion_basica/por_favor__arasaac__8195.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:31.209Z,2026-06-18T22:46:26.289Z,active
picto_000012,arasaac,36914,esperar,Esperar,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/36914?download=false,pictograms/arasaac/raw/esperar__arasaac__36914.png,pictograms/arasaac/normalized/esperar__arasaac__36914.png,pictograms/arasaac/by_category/comunicacion_basica/esperar__arasaac__36914.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:31.639Z,2026-06-18T22:46:26.292Z,active
picto_000013,arasaac,11752,repetir,Repetir,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/11752?download=false,pictograms/arasaac/raw/repetir__arasaac__11752.png,pictograms/arasaac/normalized/repetir__arasaac__11752.png,pictograms/arasaac/by_category/comunicacion_basica/repetir__arasaac__11752.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:32.265Z,2026-06-18T22:46:26.294Z,active
picto_000014,arasaac,32101,hablar despacio,Hablar despacio,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/32101?download=false,pictograms/arasaac/raw/hablar_despacio__arasaac__32101.png,pictograms/arasaac/normalized/hablar_despacio__arasaac__32101.png,pictograms/arasaac/by_category/comunicacion_basica/hablar_despacio__arasaac__32101.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:32.875Z,2026-06-18T22:46:26.297Z,active
picto_000015,arasaac,38351,familia,Familia,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/38351?download=false,pictograms/arasaac/raw/familia__arasaac__38351.png,pictograms/arasaac/normalized/familia__arasaac__38351.png,pictograms/arasaac/by_category/comunicacion_basica/familia__arasaac__38351.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:33.820Z,2026-06-18T22:46:26.299Z,active
picto_000016,arasaac,36870,acompañante,Acompañante,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/36870?download=false,pictograms/arasaac/raw/acompanante__arasaac__36870.png,pictograms/arasaac/normalized/acompanante__arasaac__36870.png,pictograms/arasaac/by_category/comunicacion_basica/acompanante__arasaac__36870.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:34.410Z,2026-06-18T22:46:26.302Z,active
picto_000017,arasaac,6561,médico,Médico,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/6561?download=false,pictograms/arasaac/raw/medico__arasaac__6561.png,pictograms/arasaac/normalized/medico__arasaac__6561.png,pictograms/arasaac/by_category/atencion_medica/medico__arasaac__6561.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:34.861Z,2026-06-18T22:46:26.304Z,active
picto_000018,arasaac,6050,enfermera,Enfermera,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/6050?download=false,pictograms/arasaac/raw/enfermera__arasaac__6050.png,pictograms/arasaac/normalized/enfermera__arasaac__6050.png,pictograms/arasaac/by_category/atencion_medica/enfermera__arasaac__6050.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:35.469Z,2026-06-18T22:46:26.306Z,active
picto_000019,arasaac,6523,hospital,Hospital,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/6523?download=false,pictograms/arasaac/raw/hospital__arasaac__6523.png,pictograms/arasaac/normalized/hospital__arasaac__6523.png,pictograms/arasaac/by_category/atencion_medica/hospital__arasaac__6523.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:36.085Z,2026-06-18T22:46:26.308Z,active
picto_000020,arasaac,35139,consulta,Consulta,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/35139?download=false,pictograms/arasaac/raw/consulta__arasaac__35139.png,pictograms/arasaac/normalized/consulta__arasaac__35139.png,pictograms/arasaac/by_category/atencion_medica/consulta__arasaac__35139.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:36.671Z,2026-06-18T22:46:26.310Z,active
picto_000021,arasaac,16165,cita,Cita,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/16165?download=false,pictograms/arasaac/raw/cita__arasaac__16165.png,pictograms/arasaac/normalized/cita__arasaac__16165.png,pictograms/arasaac/by_category/atencion_medica/cita__arasaac__16165.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:37.104Z,2026-06-18T22:46:26.313Z,active
picto_000022,arasaac,2367,dolor,Dolor,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/2367?download=false,pictograms/arasaac/raw/dolor__arasaac__2367.png,pictograms/arasaac/normalized/dolor__arasaac__2367.png,pictograms/arasaac/by_category/atencion_medica/dolor__arasaac__2367.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:37.877Z,2026-06-18T22:46:26.316Z,active
picto_000023,arasaac,32530,fiebre,Fiebre,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/32530?download=false,pictograms/arasaac/raw/fiebre__arasaac__32530.png,pictograms/arasaac/normalized/fiebre__arasaac__32530.png,pictograms/arasaac/by_category/atencion_medica/fiebre__arasaac__32530.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:38.461Z,2026-06-18T22:46:26.317Z,active
picto_000024,arasaac,35585,tos,Tos,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/35585?download=false,pictograms/arasaac/raw/tos__arasaac__35585.png,pictograms/arasaac/normalized/tos__arasaac__35585.png,pictograms/arasaac/by_category/atencion_medica/tos__arasaac__35585.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:38.911Z,2026-06-18T22:46:26.320Z,active
picto_000025,arasaac,34377,respirar,Respirar,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/34377?download=false,pictograms/arasaac/raw/respirar__arasaac__34377.png,pictograms/arasaac/normalized/respirar__arasaac__34377.png,pictograms/arasaac/by_category/atencion_medica/respirar__arasaac__34377.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:39.685Z,2026-06-18T22:46:26.323Z,active
picto_000026,arasaac,8163,medicina,Medicina,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/8163?download=false,pictograms/arasaac/raw/medicina__arasaac__8163.png,pictograms/arasaac/normalized/medicina__arasaac__8163.png,pictograms/arasaac/by_category/atencion_medica/medicina__arasaac__8163.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:40.993Z,2026-06-18T22:46:26.325Z,active
picto_000027,arasaac,5601,inyección,Inyección,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/5601?download=false,pictograms/arasaac/raw/inyeccion__arasaac__5601.png,pictograms/arasaac/normalized/inyeccion__arasaac__5601.png,pictograms/arasaac/by_category/atencion_medica/inyeccion__arasaac__5601.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:41.577Z,2026-06-18T22:46:26.327Z,active
picto_000028,arasaac,5372,alergia,Alergia,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/5372?download=false,pictograms/arasaac/raw/alergia__arasaac__5372.png,pictograms/arasaac/normalized/alergia__arasaac__5372.png,pictograms/arasaac/by_category/atencion_medica/alergia__arasaac__5372.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:42.164Z,2026-06-18T22:46:26.329Z,active
picto_000029,arasaac,2803,sangre,Sangre,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/2803?download=false,pictograms/arasaac/raw/sangre__arasaac__2803.png,pictograms/arasaac/normalized/sangre__arasaac__2803.png,pictograms/arasaac/by_category/atencion_medica/sangre__arasaac__2803.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:42.602Z,2026-06-18T22:46:26.331Z,active
picto_000030,arasaac,8687,emergencia,Emergencia,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/8687?download=false,pictograms/arasaac/raw/emergencia__arasaac__8687.png,pictograms/arasaac/normalized/emergencia__arasaac__8687.png,pictograms/arasaac/by_category/atencion_medica/emergencia__arasaac__8687.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:43.046Z,2026-06-18T22:46:26.333Z,active
picto_000031,arasaac,6899,ambulancia,Ambulancia,es,atencion_medica,https://arasaac.org,https://api.arasaac.org/api/pictograms/6899?download=false,pictograms/arasaac/raw/ambulancia__arasaac__6899.png,pictograms/arasaac/normalized/ambulancia__arasaac__6899.png,pictograms/arasaac/by_category/atencion_medica/ambulancia__arasaac__6899.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:43.514Z,2026-06-18T22:46:26.335Z,active
picto_000032,arasaac,11254,entrada,Entrada,es,orientacion_institucional,https://arasaac.org,https://api.arasaac.org/api/pictograms/11254?download=false,pictograms/arasaac/raw/entrada__arasaac__11254.png,pictograms/arasaac/normalized/entrada__arasaac__11254.png,pictograms/arasaac/by_category/orientacion_institucional/entrada__arasaac__11254.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:43.982Z,2026-06-18T22:46:26.337Z,active
picto_000033,arasaac,11364,salida,Salida,es,orientacion_institucional,https://arasaac.org,https://api.arasaac.org/api/pictograms/11364?download=false,pictograms/arasaac/raw/salida__arasaac__11364.png,pictograms/arasaac/normalized/salida__arasaac__11364.png,pictograms/arasaac/by_category/orientacion_institucional/salida__arasaac__11364.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:44.431Z,2026-06-18T22:46:26.340Z,active
picto_000034,arasaac,31328,recepción,Recepción,es,orientacion_institucional,https://arasaac.org,https://api.arasaac.org/api/pictograms/31328?download=false,pictograms/arasaac/raw/recepcion__arasaac__31328.png,pictograms/arasaac/normalized/recepcion__arasaac__31328.png,pictograms/arasaac/by_category/orientacion_institucional/recepcion__arasaac__31328.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:08:45.044Z,2026-06-18T22:46:26.342Z,active
